plataforma;jogo;url;nota;
PC;BioShock Infinite;https://www.metacritic.com/game/pc/bioshock-infinite;94;
PC;The Elder Scrolls IV: Oblivion;https://www.metacritic.com/game/pc/the-elder-scrolls-iv-oblivion;94;
PC;Grim Fandango;https://www.metacritic.com/game/pc/grim-fandango;94;
PC;Divinity: Original Sin Enhanced Edition;https://www.metacritic.com/game/pc/divinity-original-sin-enhanced-edition;94;
PC;Diablo;https://www.metacritic.com/game/pc/diablo;94;
PC;Sid Meier's Civilization IV;https://www.metacritic.com/game/pc/sid-meiers-civilization-iv;94;
PC;The Witcher 3: Wild Hunt;https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt;93;
PC;Company of Heroes;https://www.metacritic.com/game/pc/company-of-heroes;93;
PC;Half-Life: Alyx;https://www.metacritic.com/game/pc/half-life-alyx;93;
PC;Divinity: Original Sin II;https://www.metacritic.com/game/pc/divinity-original-sin-ii;93;
PC;Unreal Tournament 2004;https://www.metacritic.com/game/pc/unreal-tournament-2004;93;
PC;Starcraft II: Wings of Liberty;https://www.metacritic.com/game/pc/starcraft-ii-wings-of-liberty;93;
PC;Minecraft;https://www.metacritic.com/game/pc/minecraft;93;
PC;Red Dead Redemption 2;https://www.metacritic.com/game/pc/red-dead-redemption-2;93;
PC;Homeworld;https://www.metacritic.com/game/pc/homeworld;93;
PC;Grand Theft Auto III;https://www.metacritic.com/game/pc/grand-theft-auto-iii;93;
PC;Beat Saber;https://www.metacritic.com/game/pc/beat-saber;93;
PC;Hades;https://www.metacritic.com/game/pc/hades;93;
PC;Star Wars: Knights of the Old Republic;https://www.metacritic.com/game/pc/star-wars-knights-of-the-old-republic;93;
PC;World of Warcraft;https://www.metacritic.com/game/pc/world-of-warcraft;93;
PC;Grand Theft Auto: San Andreas;https://www.metacritic.com/game/pc/grand-theft-auto-san-andreas;93;
PC;Call of Duty 4: Modern Warfare;https://www.metacritic.com/game/pc/call-of-duty-4-modern-warfare;92;
PC;Warcraft III: Reign of Chaos;https://www.metacritic.com/game/pc/warcraft-iii-reign-of-chaos;92;
PC;The Sims;https://www.metacritic.com/game/pc/the-sims;92;
PC;Sid Meier's Gettysburg!;https://www.metacritic.com/game/pc/sid-meiers-gettysburg!;92;
PC;The Sims Deluxe;https://www.metacritic.com/game/pc/the-sims-deluxe;92;
PC;World Soccer Winning Eleven 7 International;https://www.metacritic.com/game/pc/world-soccer-winning-eleven-7-international;92;
PC;Team Fortress 2;https://www.metacritic.com/game/pc/team-fortress-2;92;
PC;System Shock 2;https://www.metacritic.com/game/pc/system-shock-2;92;
PC;Tom Clancy's Splinter Cell: Chaos Theory;https://www.metacritic.com/game/pc/tom-clancys-splinter-cell-chaos-theory;92;
PC;Rome: Total War;https://www.metacritic.com/game/pc/rome-total-war;92;
PC;Okami HD;https://www.metacritic.com/game/pc/okami-hd;92;
PC;Undertale;https://www.metacritic.com/game/pc/undertale;92;
PC;Thief: The Dark Project;https://www.metacritic.com/game/pc/thief-the-dark-project;92;
PC;Age of Empires II: The Age of Kings;https://www.metacritic.com/game/pc/age-of-empires-ii-the-age-of-kings;92;
PC;Sid Meier's Alpha Centauri;https://www.metacritic.com/game/pc/sid-meiers-alpha-centauri;92;
PC;Unreal Tournament (1999);https://www.metacritic.com/game/pc/unreal-tournament-1999;92;
PC;Galactic Civilizations II: Twilight of the Arnor;https://www.metacritic.com/game/pc/galactic-civilizations-ii-twilight-of-the-arnor;92;
PC;Out of the Park Baseball 17;https://www.metacritic.com/game/pc/out-of-the-park-baseball-17;92;
PC;The Witcher 3: Wild Hunt - Blood and Wine;https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt---blood-and-wine;92;
PC;Tiger Woods PGA Tour 2003;https://www.metacritic.com/game/pc/tiger-woods-pga-tour-2003;92;
PC;Myth: The Fallen Lords;https://www.metacritic.com/game/pc/myth-the-fallen-lords;91;
PC;Medal of Honor: Allied Assault;https://www.metacritic.com/game/pc/medal-of-honor-allied-assault;91;
PC;Dishonored;https://www.metacritic.com/game/pc/dishonored;91;
PC;Microsoft Flight Simulator;https://www.metacritic.com/game/pc/microsoft-flight-simulator;91;
